Ballot,ID,Year,Region,Gender,Race,Education,Marital,Religion,Happy,Income,PolParty,Politics,OwnGun,GunLaw,SpendMilitary,SpendEduc,SpendEnv,SpendSci,SpendSpace,SpendDrug,Pres12,Postlife
Ballot b,1216,2018,Mountain,Female,White,High school,Married,Protestant,Pretty happy,$25000 or more,Not str democrat,Moderate,Not applicable,Not applicable,About right,About right,Too little,About right,Don't know,Too little,Obama,Yes
Ballot a,1217,2018,Mountain,Female,White,High school,Married,Catholic,Very happy,$25000 or more,Independent,Slghtly conservative,No,Oppose,Not applicable,Not applicable,Not applicable,About right,Not applicable,Not applicable,Obama,Yes
Ballot c,1218,2018,Mountain,Female,White,High school,Never married,None,Pretty happy,$25000 or more,"Ind,near dem",Slightly liberal,No,Favor,Too little,Too little,Too little,About right,About right,Too little,Not applicable,Don't know
Ballot c,1219,2018,Mountain,Male,White,High school,Married,Protestant,Very happy,$25000 or more,Independent,Moderate,Yes,Favor,Not applicable,Not applicable,Not applicable,Too little,Not applicable,Not applicable,Not applicable,Don't know
Ballot c,1220,2018,Mountain,Male,White,Bachelor,Divorced,Protestant,Not too happy,$5000 to 5999,Strong democrat,Moderate,Yes,Oppose,About right,About right,Too little,About right,About right,Too little,Obama,Yes
Ballot a,1221,2018,Mountain,Male,White,Bachelor,Married,Don't know,Very happy,Refused,"Ind,near rep",Moderate,Yes,Oppose,Not applicable,Not applicable,Not applicable,About right,Not applicable,Not applicable,Romney,Yes
Ballot c,1222,2018,E. sou. central,Male,White,High school,Never married,Protestant,Not too happy,$25000 or more,Not str republican,Conservative,Yes,Oppose,Not applicable,Not applicable,Not applicable,Too much,Not applicable,Not applicable,Not applicable,Yes
Ballot b,1223,2018,E. sou. central,Male,White,Lt high school,Widowed,None,Very happy,$25000 or more,Not str democrat,Liberal,Not applicable,Not applicable,Too much,Too little,Too little,About right,About right,Too little,Obama,Yes
Ballot b,1224,2018,E. sou. central,Female,White,Lt high school,Divorced,Protestant,Pretty happy,$20000 - 24999,Strong republican,Moderate,Not applicable,Not applicable,About right,Don't know,Don't know,About right,Don't know,Don't know,Not applicable,Yes
Ballot c,1225,2018,E. sou. central,Female,White,High school,Married,Protestant,Pretty happy,$25000 or more,Strong democrat,Moderate,Yes,Favor,Too little,Too little,Too little,Too much,About right,Too little,Not applicable,Yes
Ballot b,1226,2018,E. sou. central,Female,Black,Graduate,Widowed,Protestant,Pretty happy,$25000 or more,Not str democrat,Slightly liberal,Not applicable,Not applicable,About right,Too little,About right,About right,Don't know,Too little,Obama,Yes
Ballot c,1227,2018,E. sou. central,Female,White,High school,Married,None,Very happy,$25000 or more,Not str democrat,Moderate,Yes,Oppose,Too little,Too little,Too little,Don't know,About right,Don't know,Not applicable,Yes
Ballot a,1228,2018,E. sou. central,Female,White,High school,Never married,Protestant,Very happy,$25000 or more,"Ind,near rep",Slghtly conservative,Yes,Oppose,Too little,About right,Too little,About right,About right,About right,Not applicable,Yes
Ballot c,1229,2018,E. sou. central,Male,White,Lt high school,Married,Protestant,Pretty happy,$25000 or more,"Ind,near rep",Slghtly conservative,No,Oppose,Not applicable,Not applicable,Not applicable,Don't know,Not applicable,Not applicable,Not applicable,Yes
Ballot b,1230,2018,E. sou. central,Female,White,Junior college,Never married,None,Pretty happy,$25000 or more,Other party,Slghtly conservative,Not applicable,Not applicable,Don't know,Too little,Too little,Too little,Don't know,Too little,Not applicable,Yes
Ballot a,1231,2018,E. sou. central,Female,White,High school,Divorced,Protestant,Pretty happy,$25000 or more,"Ind,near rep",Conservative,No,Favor,Not applicable,Not applicable,Not applicable,Too much,Not applicable,Not applicable,Not applicable,Yes
Ballot a,1232,2018,E. sou. central,Female,Black,High school,Never married,Protestant,Pretty happy,$25000 or more,"Ind,near dem",Slghtly conservative,Yes,Favor,Too little,Too little,Too little,Too little,Too much,Too little,Obama,Yes
Ballot b,1233,2018,E. sou. central,Male,White,Junior college,Married,Protestant,Pretty happy,$25000 or more,"Ind,near rep",Moderate,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Too little,Not applicable,Not applicable,Not applicable,Yes
Ballot a,1234,2018,E. sou. central,Male,White,High school,Never married,None,Not too happy,$25000 or more,"Ind,near rep",Moderate,No,Favor,Too much,Too little,Too little,About right,About right,Too much,Obama,No
Ballot c,1235,2018,E. sou. central,Female,White,High school,Never married,Protestant,Very happy,$25000 or more,"Ind,near dem",Liberal,No,Favor,Not applicable,Not applicable,Not applicable,About right,Not applicable,Not applicable,Not applicable,Yes
Ballot b,1236,2018,E. sou. central,Male,White,Bachelor,Never married,Protestant,Pretty happy,$25000 or more,Not str republican,Moderate,Not applicable,Not applicable,Too little,Too little,Too little,About right,About right,Too little,Didn't vote for president,Yes
Ballot a,1237,2018,E. sou. central,Male,White,High school,Never married,None,Pretty happy,$25000 or more,"Ind,near dem",Slightly liberal,No,Favor,Too much,Too little,Too little,About right,Too little,Too little,Not applicable,Yes
Ballot c,1238,2018,E. sou. central,Male,White,High school,Never married,Protestant,Pretty happy,$25000 or more,Not str republican,Slghtly conservative,Yes,Favor,Not applicable,Not applicable,Not applicable,About right,Not applicable,Not applicable,Not applicable,Yes
Ballot b,1239,2018,E. sou. central,Male,Other,High school,Never married,None,Pretty happy,$25000 or more,Not str republican,Slghtly conservative,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,About right,Not applicable,Not applicable,Not applicable,Yes
Ballot b,1240,2018,E. sou. central,Male,White,High school,Never married,None,Very happy,$10000 - 14999,Strong republican,Extremely liberal,Not applicable,Not applicable,Too little,Too much,Too little,Too little,Too much,Too little,Romney,No
Ballot b,1241,2018,E. sou. central,Male,White,Graduate,Married,Catholic,Very happy,Refused,"Ind,near rep",Moderate,Not applicable,Not applicable,Too much,Too little,Too little,About right,About right,Too little,Not applicable,Yes
Ballot a,1242,2018,E. sou. central,Female,White,Graduate,Widowed,Protestant,Pretty happy,$25000 or more,Strong democrat,Liberal,No,Favor,Not applicable,Not applicable,Not applicable,Too little,Not applicable,Not applicable,Obama,Yes
Ballot c,1243,2018,E. sou. central,Female,White,Bachelor,Never married,None,Not too happy,$25000 or more,Not str republican,Slightly liberal,No,Favor,Too much,Too little,Too little,Too much,Too little,Too little,Not applicable,Yes
Ballot b,1244,2018,E. sou. central,Female,White,Bachelor,Never married,None,Pretty happy,$20000 - 24999,Not str republican,Slightly liberal,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Too little,Not applicable,Not applicable,Romney,Yes
Ballot a,1245,2018,New england,Female,White,High school,Divorced,Catholic,Pretty happy,$25000 or more,Independent,Moderate,No,Favor,Not applicable,Not applicable,Not applicable,Too little,Not applicable,Not applicable,Obama,Yes
Ballot b,1246,2018,New england,Male,White,Lt high school,Married,Catholic,Pretty happy,$20000 - 24999,"Ind,near dem",Moderate,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,About right,Not applicable,Not applicable,Obama,Yes
Ballot c,1247,2018,New england,Male,Black,High school,Never married,Protestant,Very happy,$25000 or more,Not str democrat,Extremely liberal,No,Oppose,About right,Too little,About right,Too little,Too little,About right,Not applicable,Yes
Ballot b,1248,2018,New england,Male,Other,High school,Married,Protestant,Not too happy,$25000 or more,"Ind,near dem",Slghtly conservative,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,About right,Not applicable,Not applicable,Not applicable,No
Ballot c,1249,2018,New england,Female,White,Lt high school,Never married,Catholic,Very happy,$20000 - 24999,Strong democrat,Liberal,No,Favor,Not applicable,Not applicable,Not applicable,About right,Not applicable,Not applicable,Obama,Yes
Ballot b,1250,2018,New england,Female,Other,Lt high school,Widowed,Catholic,Very happy,$8000 to 9999,Strong democrat,Moderate,Not applicable,Not applicable,About right,About right,About right,About right,Too much,Too much,Obama,Yes
Ballot a,1251,2018,New england,Male,Other,High school,Never married,None,Pretty happy,$25000 or more,"Ind,near rep",Slghtly conservative,No,Favor,Not applicable,Not applicable,Not applicable,Too little,Not applicable,Not applicable,Romney,No
Ballot c,1252,2018,New england,Female,Other,Lt high school,Married,Protestant,Very happy,Don't know,Strong democrat,Liberal,No,Favor,Not applicable,Not applicable,Not applicable,Too much,Not applicable,Not applicable,Not applicable,Yes
Ballot a,1253,2018,New england,Female,White,Junior college,Divorced,None,Pretty happy,Refused,"Ind,near dem",Liberal,No,Favor,Not applicable,Not applicable,Not applicable,Don't know,Not applicable,Not applicable,Obama,Yes
Ballot a,1254,2018,New england,Female,White,High school,Married,None,Pretty happy,$25000 or more,Independent,Slghtly conservative,No,Favor,Too much,Too little,Too little,About right,About right,Too little,Not applicable,No
Ballot b,1255,2018,New england,Female,White,High school,Married,Catholic,Very happy,$25000 or more,"Ind,near rep",Conservative,Not applicable,Not applicable,Too little,Too much,About right,Too little,Too little,About right,Romney,Yes
Ballot b,1256,2018,New england,Male,White,High school,Married,None,Pretty happy,$25000 or more,Strong republican,Conservative,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Too much,Not applicable,Not applicable,Not applicable,Yes
Ballot a,1257,2018,New england,Female,White,High school,Never married,Catholic,Pretty happy,$25000 or more,Not str democrat,Moderate,No,Favor,About right,About right,Too little,Too little,About right,About right,Not applicable,Yes
Ballot a,1258,2018,New england,Male,White,High school,Widowed,Protestant,Pretty happy,$25000 or more,Not str democrat,Moderate,No,Oppose,Not applicable,Not applicable,Not applicable,Too much,Not applicable,Not applicable,Not applicable,No
Ballot c,1259,2018,New england,Male,White,High school,Never married,Protestant,Pretty happy,Don't know,"Ind,near dem",Slightly liberal,No,Favor,Too little,Too little,Too little,Too little,Too little,Too little,Not applicable,Yes
Ballot b,1260,2018,New england,Female,White,Bachelor,Married,Catholic,Pretty happy,$25000 or more,Strong democrat,Extremely liberal,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Too little,Not applicable,Not applicable,Obama,No
Ballot a,1261,2018,New england,Female,White,Bachelor,Never married,Catholic,Very happy,$25000 or more,Strong democrat,Liberal,No,Favor,About right,Too little,Too little,About right,Too little,Too little,Obama,Yes
Ballot b,1262,2018,New england,Female,White,High school,Widowed,Protestant,Pretty happy,$25000 or more,Not str democrat,Moderate,Not applicable,Not applicable,Too little,Too little,Too little,Too little,About right,Too little,Obama,Yes
Ballot c,1263,2018,New england,Female,White,Bachelor,Married,None,Pretty happy,$25000 or more,Strong democrat,Liberal,No,Favor,About right,Too little,Too little,Too little,About right,Too little,Obama,No
Ballot c,1264,2018,New england,Male,White,Bachelor,Married,None,Very happy,$25000 or more,Strong democrat,Liberal,No,Favor,Not applicable,Not applicable,Not applicable,Too little,Not applicable,Not applicable,Obama,No
Ballot b,1265,2018,New england,Female,White,Bachelor,Never married,None,Very happy,$25000 or more,Independent,Extremely liberal,Not applicable,Not applicable,Too much,Too little,Too little,Too little,About right,Too little,Other candidate (specify),No
Ballot b,1266,2018,New england,Male,White,Bachelor,Never married,Catholic,Pretty happy,$25000 or more,"Ind,near dem",Moderate,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Too little,Not applicable,Not applicable,Obama,Yes
Ballot a,1267,2018,New england,Female,White,Junior college,Divorced,Catholic,Not too happy,$25000 or more,Independent,Slghtly conservative,No,Favor,About right,About right,Too little,About right,About right,Too little,Not applicable,Don't know
Ballot b,1268,2018,Middle atlantic,Male,White,Lt high school,Widowed,Catholic,Very happy,$10000 - 14999,Independent,Extrmly conservative,Not applicable,Not applicable,About right,Too little,About right,About right,Don't know,Too much,Not applicable,Yes
Ballot a,1269,2018,Middle atlantic,Female,Other,Junior college,Never married,Catholic,Pretty happy,$25000 or more,Strong democrat,Moderate,No,Favor,Not applicable,Not applicable,Not applicable,About right,Not applicable,Not applicable,Obama,Yes
Ballot b,1270,2018,Middle atlantic,Female,White,Junior college,Never married,Christian,Not too happy,$10000 - 14999,Not str democrat,Liberal,Not applicable,Not applicable,Too much,Too little,Too little,About right,Too much,Too little,Obama,Don't know
Ballot a,1271,2018,Middle atlantic,Female,White,Junior college,Divorced,Catholic,Pretty happy,Lt $1000,"Ind,near rep",Conservative,No,Favor,Not applicable,Not applicable,Not applicable,About right,Not applicable,Not applicable,Romney,Yes
Ballot c,1272,2018,Middle atlantic,Male,White,High school,Separated,Catholic,Not too happy,$15000 - 19999,Strong republican,Conservative,Yes,Oppose,Too little,Too little,Too little,About right,Too little,Too little,Not applicable,Yes
Ballot c,1273,2018,Middle atlantic,Male,White,High school,Never married,Protestant,Pretty happy,$10000 - 14999,"Ind,near dem",Moderate,Yes,Favor,Not applicable,Not applicable,Not applicable,Too little,Not applicable,Not applicable,Not applicable,Yes
Ballot b,1274,2018,Middle atlantic,Male,White,High school,Divorced,None,Not too happy,$20000 - 24999,Independent,Moderate,Not applicable,Not applicable,About right,Too little,About right,Too much,Too much,Too little,Obama,Yes
Ballot a,1275,2018,Middle atlantic,Male,White,Bachelor,Never married,None,Pretty happy,$25000 or more,Not str democrat,Slightly liberal,No,Don't know,Not applicable,Not applicable,Not applicable,About right,Not applicable,Not applicable,Obama,No
Ballot b,1276,2018,Middle atlantic,Female,Black,Lt high school,Never married,Protestant,Pretty happy,$8000 to 9999,Strong democrat,Liberal,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Too little,Not applicable,Not applicable,Not applicable,Yes
Ballot a,1277,2018,Middle atlantic,Female,Other,Lt high school,Widowed,Protestant,Very happy,$20000 - 24999,Strong democrat,Don't know,No,Favor,About right,About right,Too much,Too much,Too much,Too much,Not applicable,Yes
Ballot c,1278,2018,Middle atlantic,Female,White,Graduate,Married,Protestant,Pretty happy,$25000 or more,Strong democrat,Liberal,No,Favor,Not applicable,Not applicable,Not applicable,Too little,Not applicable,Not applicable,Obama,Yes
Ballot b,1279,2018,Middle atlantic,Female,White,Bachelor,Never married,None,Pretty happy,$15000 - 19999,Strong democrat,Extremely liberal,Not applicable,Not applicable,Too much,Too little,Too little,Too little,Too little,Too little,Not applicable,Yes
Ballot a,1280,2018,Middle atlantic,Female,White,High school,Never married,None,Pretty happy,$4000 to 4999,Independent,Conservative,No,Oppose,Not applicable,Not applicable,Not applicable,About right,Not applicable,Not applicable,Not applicable,Yes
Ballot c,1281,2018,Middle atlantic,Female,White,Bachelor,Married,None,Very happy,$25000 or more,Not str democrat,Moderate,Yes,Favor,About right,Too little,Too little,Too little,Too much,About right,Obama,Don't know
Ballot b,1282,2018,Middle atlantic,Male,White,Junior college,Married,Catholic,Pretty happy,$25000 or more,Strong republican,Extrmly conservative,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Too little,Not applicable,Not applicable,Romney,Don't know
Ballot a,1283,2018,Middle atlantic,Female,White,Bachelor,Married,None,Very happy,$25000 or more,"Ind,near dem",Moderate,Yes,Favor,Not applicable,Not applicable,Not applicable,About right,Not applicable,Not applicable,Not applicable,Yes
Ballot b,1284,2018,Middle atlantic,Male,White,High school,Married,Protestant,Pretty happy,$25000 or more,Strong republican,Slghtly conservative,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Too little,Not applicable,Not applicable,Romney,Yes
Ballot c,1285,2018,Middle atlantic,Male,White,High school,Separated,None,Pretty happy,$25000 or more,"Ind,near rep",Conservative,Yes,Oppose,Not applicable,Not applicable,Not applicable,About right,Not applicable,Not applicable,Romney,Yes
Ballot b,1286,2018,Middle atlantic,Female,White,High school,Divorced,Catholic,Pretty happy,$3000 to 3999,Independent,Moderate,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,About right,Not applicable,Not applicable,Not applicable,Yes
Ballot c,1287,2018,Middle atlantic,Male,White,Graduate,Married,Jewish,Very happy,$25000 or more,Strong democrat,Liberal,Yes,Oppose,Not applicable,Not applicable,Not applicable,Too little,Not applicable,Not applicable,Obama,Don't know
Ballot b,1288,2018,Middle atlantic,Female,White,Bachelor,Never married,Catholic,Pretty happy,$25000 or more,Strong republican,Moderate,Not applicable,Not applicable,Too much,Too little,Too much,About right,About right,Too little,Romney,Yes
Ballot c,1289,2018,Middle atlantic,Female,White,Junior college,Divorced,Protestant,Pretty happy,Refused,Strong democrat,Liberal,No,Favor,Too much,Too little,Too little,Too little,Too much,Too little,Obama,Yes
Ballot b,1290,2018,Middle atlantic,Male,White,High school,Married,None,Very happy,Refused,"Ind,near dem",Slightly liberal,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Don't know,Not applicable,Not applicable,Obama,Don't know
Ballot c,1291,2018,Middle atlantic,Female,White,Graduate,Never married,None,Pretty happy,$25000 or more,Strong democrat,Liberal,No,Favor,Not applicable,Not applicable,Not applicable,About right,Not applicable,Not applicable,Obama,Don't know
Ballot c,1292,2018,Middle atlantic,Male,White,High school,Never married,None,Pretty happy,$25000 or more,"Ind,near rep",Slghtly conservative,Yes,Oppose,Too little,Too much,Too little,Too little,Too much,Too little,Didn't vote for president,Yes
Ballot b,1293,2018,Middle atlantic,Female,White,High school,Married,Catholic,Pretty happy,$25000 or more,Not str democrat,Moderate,Not applicable,Not applicable,About right,Too little,Too little,Too little,About right,Too little,Obama,Yes
Ballot c,1294,2018,Middle atlantic,Male,White,High school,Divorced,None,Not too happy,$25000 or more,"Ind,near dem",Slightly liberal,Yes,Favor,Too much,About right,Too little,Too little,About right,About right,Obama,No
Ballot b,1295,2018,Middle atlantic,Female,White,Lt high school,Widowed,Protestant,Pretty happy,$10000 - 14999,Strong democrat,Don't know,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Don't know,Not applicable,Not applicable,Not applicable,No
Ballot a,1296,2018,Middle atlantic,Male,White,High school,Never married,None,Not too happy,$1000 to 2999,Independent,Don't know,No,Favor,Not applicable,Not applicable,Not applicable,Too little,Not applicable,Not applicable,Not applicable,Yes
Ballot c,1297,2018,Middle atlantic,Male,White,Junior college,Never married,Protestant,Pretty happy,$10000 - 14999,"Ind,near dem",Moderate,No,Favor,About right,Too little,Too little,Too little,Too little,No answer,Obama,Don't know
Ballot b,1298,2018,Middle atlantic,Female,White,High school,Widowed,Catholic,Pretty happy,$25000 or more,Not str democrat,Moderate,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,About right,Not applicable,Not applicable,Obama,Yes
Ballot c,1299,2018,Middle atlantic,Male,Black,Lt high school,Never married,None,Pretty happy,$3000 to 3999,Independent,Conservative,No,Favor,Not applicable,Not applicable,Not applicable,About right,Not applicable,Not applicable,Not applicable,Yes
Ballot b,1300,2018,Middle atlantic,Female,White,Lt high school,Separated,Moslem/islam,Not too happy,Lt $1000,Independent,Conservative,Not applicable,Not applicable,About right,Too little,Too little,Too much,About right,Don't know,Romney,Yes
Ballot c,1301,2018,Middle atlantic,Male,White,Bachelor,Never married,Catholic,Pretty happy,$25000 or more,Strong democrat,Slightly liberal,No,Favor,About right,Too much,Too little,About right,About right,About right,Obama,Yes
Ballot a,1302,2018,Middle atlantic,Female,White,Junior college,Married,None,Not too happy,$25000 or more,Not str democrat,Liberal,Yes,Oppose,About right,Too little,Too little,Don't know,Don't know,Too little,Obama,No
Ballot c,1303,2018,Middle atlantic,Female,White,Junior college,Widowed,Protestant,Pretty happy,$20000 - 24999,Strong democrat,Slghtly conservative,No,Favor,Not applicable,Not applicable,Not applicable,Too little,Not applicable,Not applicable,Obama,Don't know
Ballot b,1304,2018,Middle atlantic,Female,White,Bachelor,Divorced,Protestant,Very happy,$25000 or more,Not str republican,Moderate,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,About right,Not applicable,Not applicable,Romney,Yes
Ballot c,1305,2018,Middle atlantic,Male,White,High school,Divorced,Protestant,Pretty happy,$25000 or more,Independent,Moderate,No,Favor,Not applicable,Not applicable,Not applicable,Too little,Not applicable,Not applicable,Not applicable,Yes
Ballot a,1306,2018,Middle atlantic,Female,White,Graduate,Never married,None,Very happy,$25000 or more,Not str democrat,Liberal,No,Favor,Not applicable,Not applicable,Not applicable,Too little,Not applicable,Not applicable,Obama,Yes
Ballot c,1307,2018,Middle atlantic,Female,White,High school,Married,None,Pretty happy,$25000 or more,Independent,Moderate,Yes,Favor,Too little,Too little,Too little,About right,About right,Too little,Obama,Yes
Ballot b,1308,2018,Middle atlantic,Male,White,High school,Widowed,Catholic,Very happy,$10000 - 14999,Other party,Moderate,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,About right,Not applicable,Not applicable,Obama,Yes
Ballot c,1309,2018,Middle atlantic,Male,Black,Bachelor,Never married,None,Not too happy,$25000 or more,Strong democrat,Extremely liberal,No,Favor,Not applicable,Not applicable,Not applicable,Too little,Not applicable,Not applicable,Obama,Don't know
Ballot b,1310,2018,Middle atlantic,Male,White,High school,Married,Protestant,Pretty happy,$25000 or more,Strong republican,Conservative,Not applicable,Not applicable,Too little,Too little,About right,About right,About right,About right,Romney,Yes
Ballot a,1311,2018,Middle atlantic,Male,Black,High school,Divorced,Protestant,Pretty happy,$25000 or more,Not str democrat,Extremely liberal,No,Favor,Too little,Too little,Too little,Too little,Too little,Too little,Not applicable,No
Ballot a,1312,2018,Middle atlantic,Female,Black,Lt high school,Never married,None,Pretty happy,$15000 - 19999,"Ind,near dem",Extrmly conservative,No,Oppose,Not applicable,Not applicable,Not applicable,About right,Not applicable,Not applicable,Obama,Yes
Ballot c,1313,2018,Middle atlantic,Male,White,High school,Divorced,Protestant,Not too happy,$10000 - 14999,Not str democrat,Moderate,No,Favor,Not applicable,Not applicable,Not applicable,Too much,Not applicable,Not applicable,Obama,Don't know
Ballot a,1314,2018,Middle atlantic,Female,Black,High school,Divorced,Protestant,Pretty happy,$25000 or more,Strong democrat,Moderate,No,Favor,Not applicable,Not applicable,Not applicable,About right,Not applicable,Not applicable,Obama,Yes
Ballot b,1315,2018,Middle atlantic,Female,White,Junior college,Married,Protestant,Pretty happy,Refused,Strong republican,Moderate,Not applicable,Not applicable,About right,About right,About right,Too little,About right,Too little,Romney,Yes
Ballot a,1316,2018,Middle atlantic,Female,White,Bachelor,Married,Protestant,Pretty happy,$25000 or more,Not str democrat,Slghtly conservative,Yes,Favor,Not applicable,Not applicable,Not applicable,Too little,Not applicable,Not applicable,No answer,Yes
Ballot b,1317,2018,Middle atlantic,Male,Black,High school,Divorced,Protestant,Very happy,$25000 or more,Strong democrat,Moderate,Not applicable,Not applicable,Too much,Too little,Too little,Too little,Too little,Too little,Obama,Yes
Ballot c,1318,2018,Middle atlantic,Male,White,Bachelor,Never married,Protestant,Very happy,$25000 or more,"Ind,near rep",Moderate,Yes,Favor,About right,Too little,Too little,About right,Too much,Too little,Not applicable,Yes
Ballot b,1319,2018,Middle atlantic,Female,White,High school,Widowed,Protestant,Very happy,$1000 to 2999,Not str democrat,Slightly liberal,Not applicable,Not applicable,Too little,About right,About right,About right,About right,Too little,Obama,Yes
Ballot a,1320,2018,Middle atlantic,Female,White,Junior college,Married,Protestant,Pretty happy,$25000 or more,Not str republican,Moderate,Yes,Favor,Not applicable,Not applicable,Not applicable,Too little,Not applicable,Not applicable,Romney,Yes
Ballot c,1321,2018,Middle atlantic,Female,White,High school,Widowed,Protestant,Pretty happy,$25000 or more,Strong republican,Conservative,No,Oppose,About right,About right,Too little,About right,About right,Too little,Romney,Yes
Ballot c,1322,2018,Middle atlantic,Male,White,High school,Married,Protestant,Very happy,$25000 or more,Strong republican,Conservative,Yes,Oppose,Not applicable,Not applicable,Not applicable,About right,Not applicable,Not applicable,Not applicable,Yes
Ballot a,1323,2018,Middle atlantic,Male,White,High school,Married,None,Pretty happy,$25000 or more,"Ind,near rep",Conservative,Yes,Oppose,Not applicable,Not applicable,Not applicable,Too much,Not applicable,Not applicable,Romney,Yes
Ballot c,1324,2018,South atlantic,Female,White,High school,Never married,Protestant,Very happy,$10000 - 14999,Independent,Don't know,No,Favor,Not applicable,Not applicable,Not applicable,Don't know,Not applicable,Not applicable,Not applicable,Yes
Ballot b,1325,2018,South atlantic,Female,White,Junior college,Never married,Protestant,Pretty happy,$20000 - 24999,"Ind,near rep",Moderate,Not applicable,Not applicable,About right,Too little,Too little,Don't know,Too much,About right,Not applicable,Yes
Ballot a,1326,2018,South atlantic,Female,Black,Lt high school,Widowed,Protestant,Pretty happy,$7000 to 7999,Strong democrat,Slghtly conservative,No,Favor,Not applicable,Not applicable,Not applicable,Too little,Not applicable,Not applicable,Not applicable,Yes
Ballot a,1327,2018,South atlantic,Female,White,High school,Married,Protestant,Pretty happy,$25000 or more,Not str democrat,Moderate,Yes,Favor,Too little,Too little,Too little,About right,About right,Too little,Obama,Yes
Ballot c,1328,2018,South atlantic,Female,White,High school,Married,Catholic,Pretty happy,$25000 or more,Not str democrat,Extremely liberal,No,Favor,About right,About right,Too little,About right,Too much,Too little,Not applicable,Yes
Ballot a,1329,2018,South atlantic,Female,White,High school,Married,Protestant,Very happy,$25000 or more,Strong republican,Slghtly conservative,Yes,Favor,About right,Too little,About right,About right,About right,Too little,Romney,Yes
Ballot b,1330,2018,South atlantic,Male,White,High school,Married,None,Pretty happy,$25000 or more,Strong republican,Conservative,Not applicable,Not applicable,Too little,Too little,Too little,Too little,Too little,Too little,Romney,No
Ballot a,1331,2018,South atlantic,Male,White,High school,Divorced,Protestant,Pretty happy,$10000 - 14999,Independent,Moderate,Yes,Oppose,Not applicable,Not applicable,Not applicable,Don't know,Not applicable,Not applicable,Not applicable,No
Ballot c,1332,2018,South atlantic,Female,White,Bachelor,Married,None,Very happy,$25000 or more,Not str democrat,Extremely liberal,No,Favor,About right,Too little,Too little,About right,About right,Too little,Not applicable,No
Ballot a,1333,2018,South atlantic,Female,White,High school,Married,Protestant,Pretty happy,$25000 or more,Not str republican,Conservative,Yes,Favor,Too little,About right,About right,Too little,About right,About right,Romney,Yes
Ballot b,1334,2018,South atlantic,Male,White,Graduate,Divorced,None,Pretty happy,$25000 or more,Strong republican,Extrmly conservative,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Too little,Not applicable,Not applicable,Not applicable,Yes
Ballot b,1335,2018,South atlantic,Male,White,Graduate,Married,Protestant,Pretty happy,$25000 or more,"Ind,near dem",Slightly liberal,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Too little,Not applicable,Not applicable,Obama,Yes
Ballot c,1336,2018,South atlantic,Male,Other,Lt high school,Married,Protestant,Very happy,$15000 - 19999,Independent,Don't know,No,Favor,Not applicable,Not applicable,Not applicable,About right,Not applicable,Not applicable,Not applicable,No
Ballot b,1337,2018,South atlantic,Male,White,Graduate,Married,Protestant,Pretty happy,$25000 or more,Strong republican,Slghtly conservative,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,About right,Not applicable,Not applicable,Romney,No
Ballot a,1338,2018,South atlantic,Male,White,Bachelor,Divorced,Protestant,Very happy,$25000 or more,"Ind,near dem",Moderate,No,Favor,Not applicable,Not applicable,Not applicable,Too little,Not applicable,Not applicable,Obama,Yes
Ballot b,1339,2018,South atlantic,Male,White,High school,Married,Protestant,Pretty happy,$25000 or more,Not str democrat,Moderate,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,About right,Not applicable,Not applicable,Not applicable,Yes
Ballot a,1340,2018,South atlantic,Female,Other,Lt high school,Married,Catholic,Very happy,$15000 - 19999,"Ind,near dem",Conservative,No,Favor,About right,About right,About right,About right,Don't know,Too little,Not applicable,Don't know
Ballot c,1341,2018,South atlantic,Male,White,High school,Married,Protestant,Pretty happy,$25000 or more,Not str republican,Don't know,Yes,Oppose,Not applicable,Not applicable,Not applicable,Too little,Not applicable,Not applicable,Not applicable,Yes
Ballot b,1342,2018,South atlantic,Male,White,Lt high school,Never married,None,Pretty happy,Lt $1000,Independent,Conservative,Not applicable,Not applicable,Too little,Too little,Too little,Too little,About right,Too little,Not applicable,Yes
